Date,Total Sunspot,Max Size,Zurich Class,Penumbra Class,Compactness Class,NS,Lat,EW,Lan,X-ray class,X-ray intensity
1982-01-12,26.0,150.0,D,R,O,S,8,E,58,C,1.0
1982-01-13,1.0,10.0,A,X,X,S,35,W,53,0,0.0
1982-01-13,2.0,190.0,H,A,X,S,15,W,52,0,0.0
1982-01-13,23.0,360.0,E,A,O,S,18,W,69,M,1.9
1982-01-13,59.0,230.0,D,A,I,S,8,E,42,0,0.0
1982-01-13,2.0,10.0,B,X,O,N,2,E,28,0,0.0
1982-01-14,1.0,0.0,A,X,X,S,36,W,66,0,0.0
1982-01-14,2.0,220.0,H,K,X,S,16,W,73,0,0.0
1982-01-14,9.0,250.0,E,A,O,S,17,W,82,0,0.0
1982-01-14,138.0,220.0,E,A,I,S,9,E,25,C,1.0
1982-01-14,37.0,90.0,D,A,I,N,4,E,13,0,0.0
1982-01-14,5.0,30.0,C,A,O,S,9,E,48,0,0.0
1982-01-14,1.0,100.0,H,S,X,N,11,E,78,0,0.0
1982-01-15,2.0,180.0,H,K,X,S,15,W,80,0,0.0
1982-01-15,195.0,360.0,E,K,I,S,9,E,13,C,2.3
1982-01-15,113.0,280.0,D,K,I,N,3,W,1,C,2.9
1982-01-15,11.0,30.0,C,A,O,S,9,E,32,0,0.0
1982-01-15,3.0,130.0,H,K,X,N,11,E,71,0,0.0
1982-01-15,3.0,20.0,C,S,O,S,8,W,8,0,0.0
1982-01-16,54.0,370.0,D,K,I,S,10,E,12,C,2.3
1982-01-16,24.0,230.0,D,A,I,N,2,W,1,C,2.6
1982-01-16,2.0,0.0,B,X,O,S,10,E,28,0,0.0
1982-01-16,1.0,100.0,H,S,X,N,10,E,65,0,0.0
1982-01-16,5.0,10.0,B,X,O,S,9,W,20,0,0.0
1982-01-16,5.0,20.0,C,S,O,S,15,W,9,0,0.0
1982-01-16,3.0,10.0,B,X,O,N,7,E,49,0,0.0
1982-01-16,1.0,0.0,A,X,X,S,23,E,69,0,0.0
1982-01-17,58.0,310.0,E,K,I,S,10,W,1,0,0.0
1982-01-17,35.0,310.0,D,H,I,N,1,W,23,0,0.0
1982-01-17,6.0,20.0,B,X,O,S,10,E,10,0,0.0
1982-01-17,3.0,80.0,H,S,O,N,10,E,52,0,0.0
1982-01-17,32.0,60.0,H,S,I,S,9,W,33,0,0.0
1982-01-17,5.0,20.0,B,X,O,S,16,W,23,0,0.0
1982-01-17,15.0,70.0,D,S,O,N,6,E,33,0,0.0
1982-01-17,4.0,10.0,B,X,O,N,5,E,68,0,0.0
1982-01-17,4.0,10.0,B,X,O,S,20,W,29,0,0.0
1982-01-17,13.0,40.0,B,X,O,S,15,E,1,0,0.0
1982-01-18,90.0,340.0,E,A,I,S,10,W,16,C,4.0
1982-01-18,22.0,520.0,D,A,O,N,4,W,36,0,0.0
1982-01-18,5.0,10.0,B,X,O,S,10,W,10,0,0.0
1982-01-18,6.0,70.0,H,A,O,N,9,E,31,0,0.0
1982-01-18,52.0,230.0,D,A,I,S,8,W,49,0,0.0
1982-01-18,5.0,20.0,B,X,O,S,15,W,28,0,0.0
1982-01-18,15.0,50.0,D,A,O,N,7,E,29,0,0.0
1982-01-18,6.0,20.0,B,X,O,N,5,E,62,0,0.0
1982-01-18,1.0,0.0,A,X,X,S,19,W,33,0,0.0
1982-01-18,37.0,300.0,D,A,I,S,15,W,14,C,5.9
1982-01-18,1.0,0.0,A,X,X,S,24,E,80,0,0.0
1982-01-18,1.0,20.0,A,X,X,N,6,E,59,0,0.0
1982-01-19,51.0,390.0,E,A,I,S,11,W,27,0,0.0
1982-01-19,14.0,370.0,D,A,O,N,3,W,41,0,0.0
1982-01-19,1.0,10.0,A,X,X,S,8,W,22,0,0.0
1982-01-19,1.0,90.0,H,S,X,N,10,E,26,0,0.0
1982-01-19,38.0,450.0,E,A,I,S,6,W,61,0,0.0
1982-01-19,3.0,20.0,B,X,O,S,14,W,54,0,0.0
1982-01-19,8.0,70.0,C,S,I,N,7,E,17,0,0.0
1982-01-19,6.0,10.0,B,X,O,N,4,E,34,0,0.0
1982-01-19,24.0,360.0,D,A,O,S,13,W,26,0,0.0
1982-01-19,3.0,30.0,H,R,X,S,23,E,56,0,0.0
1982-01-19,6.0,20.0,B,X,O,S,12,E,55,0,0.0
1982-01-19,4.0,20.0,B,X,O,N,7,W,39,0,0.0
1982-01-19,2.0,10.0,C,R,O,N,31,W,2,0,0.0
1982-01-19,3.0,10.0,B,X,O,S,21,E,28,0,0.0
1982-01-19,3.0,10.0,B,X,O,S,6,E,40,0,0.0
1982-01-20,50.0,470.0,E,H,I,S,11,W,44,0,0.0
1982-01-20,15.0,290.0,E,H,I,N,4,W,63,0,0.0
1982-01-20,1.0,50.0,H,S,X,N,10,E,10,0,0.0
1982-01-20,18.0,430.0,E,H,I,S,8,W,70,C,5.0
1982-01-20,7.0,20.0,H,S,O,N,7,E,2,0,0.0
1982-01-20,14.0,60.0,D,S,I,S,2,E,22,0,0.0
1982-01-20,20.0,360.0,D,S,I,S,14,W,40,0,0.0
1982-01-20,1.0,20.0,A,X,X,S,25,E,51,0,0.0
1982-01-20,15.0,90.0,D,S,O,N,7,W,55,0,0.0
1982-01-20,6.0,60.0,D,S,O,N,31,W,19,0,0.0
1982-01-20,10.0,70.0,D,S,O,S,6,E,25,0,0.0
1982-01-20,5.0,20.0,B,X,O,S,2,E,32,0,0.0
1982-01-21,43.0,460.0,E,K,I,S,11,W,56,0,0.0
1982-01-21,10.0,240.0,E,K,O,N,3,W,80,0,0.0
1982-01-21,2.0,30.0,H,S,X,N,10,W,0,0,0.0
1982-01-21,2.0,300.0,H,S,X,S,8,W,79,0,0.0
1982-01-21,2.0,60.0,C,K,O,S,9,W,85,0,0.0
1982-01-21,7.0,20.0,H,A,O,N,12,W,14,0,0.0
1982-01-21,29.0,120.0,D,A,O,S,3,E,20,C,1.9
1982-01-21,9.0,200.0,C,K,O,S,14,W,58,0,0.0
1982-01-21,2.0,20.0,H,S,X,S,24,E,34,0,0.0
1982-01-21,9.0,40.0,D,S,O,N,4,W,66,0,0.0
1982-01-21,8.0,80.0,D,A,O,N,31,W,20,0,0.0
1982-01-21,3.0,10.0,B,X,O,S,23,E,4,0,0.0
1982-01-21,28.0,40.0,D,S,O,S,8,E,14,C,2.4
1982-01-21,5.0,10.0,B,X,O,N,12,W,16,0,0.0
1982-01-21,9.0,100.0,D,A,O,S,8,E,56,C,3.6
1982-01-22,20.0,610.0,E,A,O,S,11,W,68,C,2.0
1982-01-22,4.0,200.0,C,S,O,N,3,W,81,M,2.7
1982-01-22,3.0,50.0,H,A,X,N,10,W,14,C,1.2
1982-01-22,3.0,40.0,D,A,O,N,12,W,30,0,0.0
1982-01-22,68.0,140.0,D,A,I,S,4,W,2,0,0.0
1982-01-22,9.0,310.0,H,K,O,S,12,W,75,0,0.0
1982-01-22,1.0,10.0,A,X,X,S,25,E,27,0,0.0
1982-01-22,7.0,10.0,A,X,X,N,7,W,0,0,0.0
1982-01-22,14.0,130.0,D,A,O,N,5,W,71,0,0.0
1982-01-22,3.0,60.0,H,S,X,N,30,W,38,0,0.0
1982-01-22,2.0,10.0,A,X,X,S,23,W,1,0,0.0
1982-01-22,6.0,20.0,B,X,O,S,5,W,6,0,0.0
1982-01-22,22.0,130.0,D,A,O,N,12,W,34,0,0.0
1982-01-22,25.0,180.0,D,A,O,S,7,E,41,C,1.8
1982-01-22,43.0,200.0,D,A,O,N,5,W,1,0,0.0
1982-01-23,9.0,260.0,E,S,O,S,11,W,84,0,0.0
1982-01-23,2.0,30.0,H,S,X,N,9,W,28,0,0.0
1982-01-23,5.0,60.0,C,S,O,N,13,W,41,0,0.0
1982-01-23,31.0,40.0,C,R,O,N,4,W,5,0,0.0
1982-01-23,1.0,190.0,H,A,X,S,12,W,88,0,0.0
1982-01-23,9.0,20.0,B,X,O,N,7,W,15,0,0.0
1982-01-23,1.0,20.0,H,R,X,N,28,W,51,0,0.0
1982-01-23,11.0,20.0,C,R,O,S,6,W,15,0,0.0
1982-01-23,16.0,70.0,D,A,O,N,12,W,47,0,0.0
1982-01-23,36.0,180.0,D,A,I,S,8,E,37,0,0.0
1982-01-23,13.0,40.0,H,S,O,S,1,W,24,0,0.0
1982-01-24,2.0,30.0,H,A,X,N,9,W,41,0,0.0
1982-01-24,28.0,70.0,D,A,O,N,5,W,29,C,2.2
1982-01-24,1.0,0.0,A,X,X,S,18,E,1,0,0.0
1982-01-24,3.0,30.0,B,X,O,N,31,W,68,0,0.0
1982-01-24,5.0,20.0,B,X,O,S,7,W,19,0,0.0
1982-01-24,16.0,130.0,D,A,O,N,12,W,60,0,0.0
1982-01-24,45.0,130.0,D,A,O,S,8,E,23,0,0.0
1982-01-24,2.0,10.0,H,R,X,S,1,W,34,0,0.0
1982-01-24,3.0,10.0,B,X,O,S,8,W,9,0,0.0
1982-01-24,5.0,10.0,B,X,O,N,20,E,41,0,0.0
1982-01-24,1.0,0.0,A,X,X,N,20,E,68,0,0.0
1982-01-24,2.0,10.0,A,X,X,N,10,E,80,0,0.0
1982-01-25,2.0,40.0,H,S,X,N,10,W,53,0,0.0
1982-01-25,65.0,140.0,D,A,I,N,4,W,45,C,6.3
1982-01-25,2.0,10.0,A,X,X,S,16,W,0,0,0.0
1982-01-25,12.0,90.0,H,A,O,N,14,W,75,0,0.0
1982-01-25,53.0,140.0,D,A,O,S,8,W,1,0,0.0
1982-01-25,1.0,10.0,A,X,X,S,9,W,28,0,0.0
1982-01-25,28.0,70.0,C,A,O,N,21,E,25,C,3.6
1982-01-25,25.0,600.0,E,K,C,N,11,E,78,0,0.0
1982-01-25,16.0,50.0,C,A,O,N,20,E,55,0,0.0
1982-01-25,1.0,10.0,A,X,X,N,10,E,80,0,0.0
1982-01-25,1.0,60.0,H,S,X,N,9,E,80,0,0.0
1982-01-26,3.0,30.0,H,S,X,N,10,W,66,0,0.0
1982-01-26,42.0,140.0,D,A,I,N,3,W,50,C,5.7
1982-01-26,4.0,70.0,C,A,O,N,12,W,75,0,0.0
1982-01-26,40.0,120.0,H,A,O,S,10,W,6,0,0.0
1982-01-26,3.0,10.0,A,X,X,S,8,W,39,0,0.0
1982-01-26,38.0,70.0,D,A,O,N,21,E,15,0,0.0
1982-01-26,18.0,520.0,D,K,I,N,11,E,70,0,0.0
1982-01-26,19.0,60.0,C,A,O,N,20,E,42,0,0.0
1982-01-26,1.0,10.0,A,X,X,N,11,E,63,0,0.0
1982-01-26,14.0,380.0,H,A,I,S,12,E,78,C,2.3
1982-01-26,11.0,30.0,C,S,O,S,14,E,33,0,0.0
1982-01-26,4.0,20.0,B,X,O,S,9,E,60,0,0.0
1982-01-27,1.0,0.0,A,X,X,N,9,W,80,0,0.0
1982-01-27,17.0,360.0,E,A,O,N,6,W,75,0,0.0
1982-01-27,15.0,140.0,H,A,O,S,9,W,29,0,0.0
1982-01-27,1.0,10.0,A,X,X,S,6,W,41,0,0.0
1982-01-27,20.0,70.0,D,A,O,N,21,W,2,0,0.0
1982-01-27,29.0,380.0,D,K,I,N,9,E,46,0,0.0
1982-01-27,36.0,70.0,D,A,O,N,20,E,30,0,0.0
1982-01-27,1.0,10.0,A,X,X,N,10,E,49,0,0.0
